"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT62F3G32D8DV-026 AIT:B","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F768M64D4EK-020FAIT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-020 WT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","End of Life","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F3G32D8DV-026 WT:B","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F3G32D8DV-026 AAT:B","98Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F512M64D4EK-031 IT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x64","CL = 18","441-ball","Obsolete","512Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DCD4CZ-DC Y6CP","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","TFBGA","DRAM"
"MT62F1536M64D8EK-020AIT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2DCD8DL-DC X","","","","0.5 VOLTS","","","","","","","1190","14.00 x 12.40 x 0.51","2500","8","COMPONENT","","UFLGA","DRAM"
"MT62F1G64D8EK-031 IT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x64","CL = 18","441-ball","Obsolete","1Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DAD4CZ-DC Y6CP","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","","DRAM"
"MT62F1G32D4DS-031 AUT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-020FAUT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","End of Life","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D8EK-031 AIT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","Obsolete","1Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2EK-026 WT:E","32Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D2DS-031 WT:B","16Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-020AIT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-020FAAT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Obsolete","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F4G32D8DV-026 WT:B","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F4G32D8DV-026 WT:C","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Contact Sales","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F1G32D2DS-031 IT:C","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2DADAGJ-DC X Y5BN","","","","","","","","","","","1190","14.00 x 12.40 x 0.41","2500","16","COMPONENT","","","DRAM"
"MT62F2G32D4DS-031 WT:C","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Obsolete","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-020FAAT:D","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Introduction","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2DAD8ZX-DC Y52N","","","","","","","","","","","1190","14.00 x 12.40 x 0.65","2500","8","COMPONENT","","","DRAM"
"MT62F768M64D4EK-020 WT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-026 AIT:B","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DZD4CZ-DC Y52N","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","","DRAM"
"MT62F1BAD8DV-DC Y52N","","","","","","","","","","","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","","","DRAM"
"MT62F2G64D8CZ-020 WT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","Obsolete","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4EK-020FAAT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M32D2DS-020AAT:D","24Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-020 WT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-020 WT:C","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Obsolete","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D8DR-031 WT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Obsolete","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D1DS-020FAUT:E","16Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2EK-020FAIT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4EK-020AUT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2DD4ZX-DC Y5BN","","","","","","","","","","","1190","14.00 x 12.40 x 0.65","2500","4","COMPONENT","","","DRAM"
"MT62F2G32D4DS-020AAT:F","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F1G64D4CZ-020 WT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","End of Life","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F3G32D8DV-020FAAT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","Sampling","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F2G64D8CZ-020AIT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","Obsolete","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-026 AIT:B","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","Obsolete","1.5Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D1DS-020 AAT:E","16Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1BZD8DV-DC Y5BP","","","","","","","","","","","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","","","DRAM"
"MT62F1536M32D4DS-020FAUT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D4DR-031 WT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-020FAIT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DD4CZ-DC Y62P","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","","DRAM"
"MT62F4G32D8DV-020AAT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","Contact Sales","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F1G32D4DS-031 RS WT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020AIT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F3G32D8DV-020AUT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F768M32D2DS-020FAAT:D","24Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D1DS-020AUT:E","16Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M32D2DS-026 WT:C","24Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Contact Sales","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-020FAIT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M32D2DS-026 WT:B","24Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D2DS-031 AAT:B","16Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-020FAIT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D8EK-031 AUT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-020AUT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F4G32D8DV-020FAAT:F","","","","0.5 VOLTS","","","","","","4G","1050","12.40 x 15.00 x 1.30","2000","","","","",""
"MT62F1DD4CZ-DC Y5BN","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","","DRAM"
"MT62F2G32D4DS-020FAUT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1BAD4DS-DC Y6CP","","","","","","","","","","","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","","TFBGA","DRAM"
"MT62F2DADBFH-DC Y52N","","","","","","","","","","","1190","14.00 x 12.40 x 0.81","2500","12","COMPONENT","","","DRAM"
"MT62F1DCD8EK-DC Y5BP","","","","0.5 VOLTS","","","","","","","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","","TFBGA","DRAM"
"MT62F1536M64D8EK-020AUT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F4G32D8DV-026 AIT:B","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F1BAD4DS-DC Y52N","","","","","","","","","","","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","","","DRAM"
"MT62F1BAD2DS-DC Y6CP","","","","","","","","","","","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","","","DRAM"
"MT62F2G64D8EK-020AIT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2EK-020 WT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-031RFIT:C","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Contact Sales","X32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D4DS-031 AAT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-031 RS WT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Obsolete","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F3G32D8DV-020AAT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F1536M32D4DS-020AAT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8WT-031 XT:B","96Gb","3200MHz","6400MTPS","0.5 VOLTS","-30C to +105C","x64","CL = Programmable","640-ball","End of Life","1.5Gb x64","1020","6.80 x 13.10 x 1.01","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020FAAT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","End of Life","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020FAAT:D","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Introduction","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-026 WT:C","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Production","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-026 WT:B","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2DD4DK-DC X Y5BN","","","","","","","","","","","1190","14.00 x 12.40 x 0.45","2500","4","COMPONENT","","","DRAM"
"MT62F512M32D1DS-020FAIT:E","16Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D2DS-020FAIT:F","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-026 AAT:B","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2CZ-020FAIT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","Production","X64","1020","8.00 x 12.40 x 1.20","2500","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F4G32D8DV-020 WT:C","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Obsolete","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F512M64D2CZ-020 WT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","Production","512Mb x64","1020","8.00 x 12.40 x 1.20","2500","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D4DS-031 WT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-026 AIT:B","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DD8EK-DC Y5BN","","","","","","","","","","","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","","","DRAM"
"MT62F2G32D4DS-020AUT:F","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F1G64D4EK-020AAT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Sampling","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DAD4CZ-DC Y52N","","","","0.5 VOLTS","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","TFBGA","DRAM"
"MT62F1DZD8CZ-DC Y52N","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","","","DRAM"
"MT62F1CZD1DS-DC Y52Q","","","","0.5 VOLTS","","","","","","","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","","TFBGA","DRAM"
"MT62F1DAD4EK-DC Y5BN","","","","0.5 VOLTS","","","","","","","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","","TFBGA","DRAM"
"MT62F1536M64D8CL-031 WT:B","96Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","End of Life","1.5Gb x64","1190","14.00 x 12.40 x 0.69","2500","8","COMPONENT","LPDDR5","WFBGA","DRAM"
"MT62F1DD8CZ-DC Y62P","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","","","DRAM"
"MT62F512M64D2EK-020 AAT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2EK-020FAUT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D2DS-020AAT:F","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F2G64D8EK-026 WT:C","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Contact Sales","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-026 WT:B","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Production","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-020 WT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","End of Life","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-026 WT:B","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-020 WT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Sampling","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-020FAUT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-026 WT:C","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-020 WT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020FAUT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","End of Life","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
